Class,Title,FLSA,Grade,"Hourly
Minimum","Hourly
Midpoint","Hourly
Maximum","Annual
Minimum","Annual
Midpoint","Annual
Maximum"
5150,Deputy Sheriff Captain,EX,S7,$63.00,$74.48,$85.96,"$131,040.00","$154,918.40","$178,796.80"
530,Deputy Sheriff Major,EX,S8,$70.00,$85.27,$100.54,"$145,600.00","$177,361.60","$209,123.20"
3102,Deputy Zoning Administrator,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1187,DES Administrative Services Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
240,DES Budget and Finance Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1022,DES Bus Intel & Tech Support Chief,EX,MAR30_20,$61.61,$77.85,$94.09,"$128,148.80","$161,928.00","$195,707.20"
208,DES Chief Deputy Director,EX,SMAP2,$74.23,$93.81,$113.39,"$154,398.40","$195,124.80","$235,851.20"
4211,DES Contracts Administration and Audit Section Manager,EX,MAR40_13,$49.38,$62.38,$75.38,"$102,710.40","$129,750.40","$156,790.40"
4213,DES Contracts Program Manager,EX,89,$37.55,$51.08,$64.61,"$78,104.00","$106,246.40","$134,388.80"
250,DES Deputy Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
8103,DES Funds Manager,EX,89,$37.55,$51.08,$64.61,"$78,104.00","$106,246.40","$134,388.80"
2960,DES Operating Engineer/Manager,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
2978,DES Operations Manager,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
8605,Design Engineer Team Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
3613,Development Master Planner,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
8250,Development Plan Review Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
3620,"Development Specialist, Associate",EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
3622,"Development Specialist, Principal",EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
6631,Developmental Disabilities Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
6321,Developmental Disability Specialist I,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
6341,Developmental Disability Specialist II,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
6615,Developmental Disability Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
1543,DHS Assistant Division Chief,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
6310,DHS Clinical Psychologist Senior,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
4136,DHS Customer Account Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
6601,DHS Customer Service Center Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
1453,DHS Emergency Management Specialist,EX,MAR5_12,$34.99,$44.21,$53.42,"$72,779.20","$91,946.40","$111,113.60"
2111,DHS Facilities Operations Manager,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
1109,DHS Human Resources Manager,EX,MAR15_15,$44.76,$56.55,$68.34,"$93,100.80","$117,624.00","$142,147.20"
6451,DHS Information Systems Bureau Chief,EX,MAR30_20,$61.61,$77.85,$94.09,"$128,148.80","$161,928.00","$195,707.20"
6672,DHS Permanent Supportive Housing Program Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
1521,DHS Principal Program Specialist,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
1525,DHS Program Compliance Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
6662,DHS Regional Workforce Program Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
4101,DHS Reimbursement Manager,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
6336,DHS System of Care Manager,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
2572,Digital Press Operator,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
6651,Disability Resource Coord,EX,73,$32.20,$44.08,$55.96,"$66,976.00","$91,686.40","$116,396.80"
1150,Diversity Coordinator,EX,73,$32.20,$44.08,$55.96,"$66,976.00","$91,686.40","$116,396.80"
730,DPR Deputy Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1183,DPR Human Resources Section Manager,EX,MAR15_15,$44.76,$56.55,$68.34,"$93,100.80","$117,624.00","$142,147.20"
7108,DPR Program Assistant,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
7325,DPR Program Manager,EX,92,$32.20,$45.72,$59.23,"$66,976.00","$95,087.20","$123,198.40"
7102,DPR Program Specialist,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
7101,DPR Program Supervisor,EX,92,$32.20,$45.72,$59.23,"$66,976.00","$95,087.20","$123,198.40"
7105,DPR Programmer I,NEX,MAR20_8,$30.37,$38.36,$46.35,"$63,169.60","$79,788.80","$96,408.00"
7104,DPR Programmer II,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
7122,DPR Section Manager,EX,88,$37.03,$51.20,$65.37,"$77,022.40","$106,496.00","$135,969.60"
9200,Drug Court Coordinator,EX,11,$31.29,$39.55,$47.81,"$65,083.20","$82,264.00","$99,444.80"
136,DTS Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4443,DTS Management & Budget Section Manager,EX,89,$37.55,$51.08,$64.61,"$78,104.00","$106,246.40","$134,388.80"
7109,Early Childhood Assistant,NEX,MAR5_6,$22.40,$28.31,$34.22,"$46,592.00","$58,884.80","$71,177.60"
560,ECC Administrator,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
5030,ECC Deputy Administrator,EX,91,$38.79,$53.57,$68.34,"$80,683.20","$111,415.20","$142,147.20"
1159,ECC Deputy Administrator II,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
370,Economic Development Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
675,Economic Independence & Assistance Div Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
8113,Electrical and Instrumentation Supervisor,NEX,MAR25_12,$41.66,$52.63,$63.59,"$86,652.80","$109,460.00","$132,267.20"
2622,Electrical Power Technician I,NEX,MAR25_8,$31.63,$39.96,$48.28,"$65,790.40","$83,106.40","$100,422.40"
2688,Electrical Power Technician II,NEX,MAR25_9,$34.05,$43.04,$52.03,"$70,824.00","$89,523.20","$108,222.40"
2426,Electrician,NEX,MAR15_7,$26.88,$33.96,$41.04,"$55,910.40","$70,636.80","$85,363.20"
6660,Eligibility Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6663,Eligibility Worker,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
5033,Emergency Communications Operations Manager,EX,MAR30_11,$40.68,$51.42,$62.16,"$84,614.40","$106,953.60","$129,292.80"
5032,Emergency Communications Supervisor,NEX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
5035,Emergency Communications Systems Spec,NEX,MAR35_8,$34.16,$43.16,$52.15,"$71,052.80","$89,762.40","$108,472.00"
5036,Emergency Communications Technician I,NEX,MAR25_6,$26.67,$33.71,$40.74,"$55,473.60","$70,106.40","$84,739.20"
5037,Emergency Communications Technician II,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
5034,Emergency Communications Technician III,NEX,MAR35_8,$34.16,$43.16,$52.15,"$71,052.80","$89,762.40","$108,472.00"
5031,Emergency Communications Training Manager,NEX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
1177,Emergency Management Specialist I,NEX,86,$23.37,$34.58,$45.79,"$48,609.60","$71,926.40","$95,243.20"
1178,Emergency Management Specialist II,EX,83,$29.27,$41.35,$53.42,"$60,881.60","$85,997.60","$111,113.60"
5023,Emergency Management Watch Officer,NEX,MAR5_10,$30.74,$38.84,$46.93,"$63,939.20","$80,776.80","$97,614.40"
141,Employee Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1084,Employment Development Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
1083,Employment Services Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
1087,Employment Services Supervisor,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
8604,Engineer I,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
8312,Engineer II,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
8313,Engineer III,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
8108,Engineering Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
8215,Engineering Operations Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
8105,Engineering Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
8300,Engineering Support Associate I,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
8301,Engineering Support Associate II,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
8302,Engineering Support Associate III,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
8314,Engineering Technician,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
6511,Environmental Health Specialist I,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
6512,Environmental Health Specialist II,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6510,Environmental Health Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6553,Environmental Health Technician,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3810,Environmental Management Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
3114,"Environmental Management Specialist, Associate",EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
3117,"Environmental Management Specialist, Principal",EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
6121,Epidemiologist,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6131,Epidemiology Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
220,Equipment Bureau Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
2525,Equipment Mechanic I,NEX,MAR25_6,$26.67,$33.71,$40.74,"$55,473.60","$70,106.40","$84,739.20"
2526,Equipment Mechanic II,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
9996,Executive Director Retirement Office,EX,None,,,,,,
7301,Facilities Assistant I,NEX,R1,$15.09,$17.19,$19.28,"$31,387.20","$35,744.80","$40,102.40"
7304,Facilities Assistant II,NEX,R2,$16.05,$21.05,$26.04,"$33,384.00","$43,773.60","$54,163.20"
7310,Facilities Assistant III,NEX,R3,$17.91,$23.51,$29.10,"$37,252.80","$48,890.40","$60,528.00"
2003,Facilities Design & Construction Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
2007,Facilities Design & Construction Program Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
3210,Facilities Interior Design Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
2516,Facilities Maintenance Mechanic II,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
2005,Facilities Maintenance Section Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
2515,Facilities Maintenance Worker,NEX,MAR10_4,$19.11,$24.14,$29.17,"$39,748.80","$50,211.20","$60,673.60"
2004,Facilities Management Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
8600,Facilities Management Program Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
3640,Facilities Planning Manager,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
2002,Facilities Project Specialist,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
615,Finance and Information Systems Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4416,Financial Analyst II,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
6668,Financial Management Bureau Chief,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
5020,Fingerprint Specialist I,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
5021,Fingerprint Specialist II,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
5022,Fingerprint Specialist III,NEX,MAR15_9,$31.33,$39.60,$47.87,"$65,166.40","$82,368.00","$99,569.60"
5070,Fingerprint Specialist Supervisor,NEX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
5240,Fire Inspector,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
5215,Fire Marshal I,NEX,F3,$30.23,$40.64,$51.05,"$62,878.40","$84,531.20","$106,184.00"
5233,Firefighter/EMT III,NEX,F4,$31.77,$42.74,$53.70,"$66,081.60","$88,888.80","$111,696.00"
5210,Fire/EMS Lieutenant,NEX,F5,$34.70,$46.65,$58.60,"$72,176.00","$97,032.00","$121,888.00"
5324,Fire Protection Engineer I,NEX,MAR35_9,$36.77,$46.48,$56.19,"$76,481.60","$96,678.40","$116,875.20"
5220,Fire/EMS Captain I,NEX,F6,$38.24,$51.41,$64.57,"$79,539.20","$106,922.40","$134,305.60"
5325,Fire Protection Engineer II,NEX,MAR45_9,$39.50,$49.93,$60.35,"$82,160.00","$103,844.00","$125,528.00"
5201,Fire/EMS Captain II,NEX,F7,$42.65,$57.33,$72.01,"$88,712.00","$119,246.40","$149,780.80"
5200,Fire/EMS Battalion Chief,NEX,F8,$63.00,$74.48,$85.96,"$131,040.00","$154,918.40","$178,796.80"
542,Deputy Fire Chief,EX,F9,$75.00,$87.77,$100.54,"$156,000.00","$182,561.60","$209,123.20"
540,Fire Chief,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
6552,Fire Medical Director,EX,XMAP3,$91.89,$126.27,$160.64,"$191,131.20","$262,631.20","$334,131.20"
6721,Food Service Coordinator,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
7503,Forestry Section Supervisor,EX,MAR10_14,$40.84,$51.60,$62.35,"$84,947.20","$107,317.60","$129,688.00"
2929,Gardener,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
9992,General District Court,EX,None,,,,,,
102,General Registrar,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
1018,GIS Analyst,EX,MAR30_12,$43.32,$54.73,$66.14,"$90,105.60","$113,838.40","$137,571.20"
1010,GIS Applications Developer,EX,MAR30_12,$43.32,$54.73,$66.14,"$90,105.60","$113,838.40","$137,571.20"
1019,GIS Database Administrator,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
8325,GIS Program Manager,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
8320,GIS Specialist I,EX,MAR10_10,$32.20,$40.69,$49.17,"$66,976.00","$84,624.80","$102,273.60"
8321,GIS Specialist II,EX,MAR15_11,$35.99,$45.49,$54.99,"$74,859.20","$94,619.20","$114,379.20"
113,Government Affairs Liaison,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1155,Grant Compliance Specialist,EX,73,$32.20,$44.08,$55.96,"$66,976.00","$91,686.40","$116,396.80"
6711,Group Home Counselor I,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
6712,Group Home Counselor II,NEX,MAR30_9,$35.41,$44.76,$54.11,"$73,652.80","$93,100.80","$112,548.80"
9311,Group Home Manager,EX,MAR25_12,$41.66,$52.63,$63.59,"$86,652.80","$109,460.00","$132,267.20"
7314,Gymnastics Instructor,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
6411,Health Educator,EX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
3610,Historic Preservation Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
6655,Homeless Program Coord,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
3617,Housing Assistance Program Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
6650,Housing Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
3631,Housing Choice Program Manager,EX,MAR25_15,$48.64,$61.46,$74.28,"$101,171.20","$127,836.80","$154,502.40"
3625,Housing Choice Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
3623,Housing Development Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
332,Housing Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4415,Housing Finance Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
3624,Housing Inspections Coordinator,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
3618,Housing Inspector,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3116,Housing Master Planner,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
3611,Housing Specialist I,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
3614,Housing Specialist II,EX,MAR5_10,$30.74,$38.84,$46.93,"$63,939.20","$80,776.80","$97,614.40"
1103,Human Resources Administrative Specialist,NEX,86,$23.37,$34.58,$45.79,"$48,609.60","$71,926.40","$95,243.20"
140,Human Resources Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
1101,Human Resources/OD Specialist,EX,70,$29.27,$43.89,$58.51,"$60,881.60","$91,291.20","$121,700.80"
1152,Human Rights Supervisor,EX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
6737,Human Services Aide V,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
6738,Human Services Aide VI,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
6600,Human Services Clinical Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6614,Human Services Clinician II,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
6618,Human Services Clinician III,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
601,Human Services Deputy Director,EX,SMAP2,$74.23,$93.81,$113.39,"$154,398.40","$195,124.80","$235,851.20"
600,Human Services Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
6332,Human Services Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
2535,HVAC Mechanic II,NEX,MAR50_8,$37.95,$47.94,$57.93,"$78,936.00","$99,715.20","$120,494.40"
1113,I/O Psychologist,EX,58,$50.11,$67.98,$85.84,"$104,228.80","$141,388.00","$178,547.20"
137,Independent Policing Auditor,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
6636,Infant & Child Development Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6637,Infant Development Specialist,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
5155,Inmate Services Counselor I,NEX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
5156,Inmate Services Counselor II,NEX,11,$31.29,$39.55,$47.81,"$65,083.20","$82,264.00","$99,444.80"
5157,Inmate Services Supervisor,EX,13,$35.26,$44.55,$53.84,"$73,340.80","$92,664.00","$111,987.20"
350,Inspection Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1151,Investigator HR/EEO,EX,73,$32.20,$44.08,$55.96,"$66,976.00","$91,686.40","$116,396.80"
4442,Investment Portfolio Manager,EX,MAR15_15,$44.76,$56.55,$68.34,"$93,100.80","$117,624.00","$142,147.20"
1040,IT Program Manager,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
1031,IT Support Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
2760,ITS Network Analyst,NEX,MAR45_9,$39.50,$49.93,$60.35,"$82,160.00","$103,844.00","$125,528.00"
2731,ITS Systems Analyst,NEX,MAR45_9,$39.50,$49.93,$60.35,"$82,160.00","$103,844.00","$125,528.00"
2722,ITS Technician I,NEX,MAR15_7,$26.88,$33.96,$41.04,"$55,910.40","$70,636.80","$85,363.20"
2726,ITS Technician II,NEX,MAR15_8,$29.10,$36.76,$44.42,"$60,528.00","$76,460.80","$92,393.60"
9425,Judicial Law Clerk,EX,MAR10_10,$32.20,$40.69,$49.17,"$66,976.00","$84,624.80","$102,273.60"
9151,Jury Coordinator,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
9993,Juvenile & Domestic Relations Court,EX,None,,,,,,
9305,Juvenile Program Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6750,Laboratory Assistant,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
8352,Land Surveyor I,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
8353,Land Surveyor Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
7552,Landscape Architect,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
7553,Landscape Architect Supervisor,EX,32,$38.33,$51.76,$65.19,"$79,726.40","$107,660.80","$135,595.20"
7520,Landscape Specialist,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
9420,Law Clerk,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
7315,Lead Aquatics Instructor,NEX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
7270,Lead Gymnastics Instructor,NEX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
2952,Lead Trades Worker I,NEX,MAR5_7,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
2954,Lead Trades Worker II,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
9124,Legal Administrative Specialist,NEX,MAR25_8,$31.63,$39.96,$48.28,"$65,790.40","$83,106.40","$100,422.40"
9125,Legal Administrative Supervisor,NEX,MAR55_9,$42.21,$53.37,$64.52,"$87,796.80","$110,999.20","$134,201.60"
1190,Legislative Liaison,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
7012,Librarian,EX,40,$30.74,$39.96,$49.17,"$63,939.20","$83,106.40","$102,273.60"
7002,Librarian Supervisor,EX,71,$35.99,$48.96,$61.92,"$74,859.20","$101,826.40","$128,793.60"
7023,Library Assistant,NEX,MAR15_5,$22.31,$28.19,$34.06,"$46,404.80","$58,624.80","$70,844.80"
7020,Library Assistant Coordinator,NEX,41,$24.54,$33.52,$42.50,"$51,043.20","$69,721.60","$88,400.00"
7003,Library Assistant Division Chief,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
7019,Library Assistant Supervisor,NEX,41,$24.54,$33.52,$42.50,"$51,043.20","$69,721.60","$88,400.00"
7018,Library Associate,NEX,41,$24.54,$33.52,$42.50,"$51,043.20","$69,721.60","$88,400.00"
713,Library Deputy Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
700,Library Director,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
710,Library Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
712,Library Division Chief (Materials Management),EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
7021,Library Page,NEX,MAR5_2,$14.65,$18.51,$22.37,"$30,472.00","$38,500.80","$46,529.60"
7205,Lifeguard I,NEX,MAR10_2,$15.35,$19.40,$23.44,"$31,928.00","$40,341.60","$48,755.20"
7206,Lifeguard II,NEX,MAR15_4,$19.99,$25.24,$30.49,"$41,579.20","$52,499.20","$63,419.20"
7303,Long Range Park Planning Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
9991,Magistrate,EX,None,,,,,,
4411,Management & Budget Specialist,EX,70,$29.27,$43.89,$58.51,"$60,881.60","$91,291.20","$121,700.80"
450,Management & Finance Deputy Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
